Name,StrikesLandedPerMin,StrikesAbsorbedPerMin,TakedownsPer15Min,OpponentTakedownsPer15Min,SubmissionsPer15Min,ControlPer15Min,StrikingAccuracyPct,StrikeDefencePct,TakedownAccuracyPct,TakedownDefencePct,Elo,DOB,Height,Weight,Reach,Stance
Jason DeLucia,0.43,0.22,1.62,3.24,8.09,14.57,66.67,50.0,50.0,33.33,942.0,1969-07-24,71.0,190.0,,Southpaw
Scott Baker,0.0,0.45,2.24,0.0,0.0,0.0,0.0,40.0,100.0,100.0,942.0,,72.0,210.0,,Nan
Royce Gracie,0.67,1.12,1.12,1.4,3.36,0.0,48.0,41.18,36.36,0.0,1288.69,1966-12-12,73.0,175.0,,Southpaw
Minoki Ichihara,0.58,0.39,0.0,2.92,0.0,0.0,42.86,50.0,0.0,0.0,942.0,,67.0,178.0,,Orthodox
Fred Ettish,1.28,4.17,0.0,0.0,0.0,0.0,57.14,55.17,0.0,100.0,951.59,,72.0,180.0,,Southpaw
Keith Hackney,3.64,1.47,0.0,2.33,1.16,0.0,58.02,50.0,0.0,66.67,1032.98,,71.0,200.0,,Sideways
Emmanuel Yarborough,0.5,17.14,0.0,0.0,0.0,0.0,20.0,32.0,0.0,100.0,942.0,1960-09-05,80.0,770.0,,Open Stance
Ken Shamrock,1.91,2.68,1.72,1.23,2.21,9.57,41.05,50.45,63.64,66.67,1074.36,1964-02-11,73.0,205.0,72.0,Orthodox
Christophe Leninger,0.31,3.36,0.0,1.17,1.17,0.0,22.22,31.75,0.0,0.0,909.57,,72.0,200.0,,Southpaw
Harold Howard,3.85,2.56,3.85,7.69,3.85,0.0,65.22,47.37,33.33,33.33,934.01,,74.0,240.0,,Orthodox
Roland Payne,3.91,11.74,19.57,0.0,0.0,0.0,75.0,25.0,50.0,100.0,942.0,,69.0,205.0,,Orthodox
Kimo Leopoldo,1.39,3.0,2.25,0.56,1.69,66.42,48.05,36.0,40.0,80.0,983.78,1968-01-05,75.0,235.0,,Orthodox
Felix Lee Mitchell,0.66,0.88,0.0,3.28,0.0,0.0,100.0,0.0,0.0,50.0,868.87,,,,,Orthodox
Steve Jennum,2.54,0.54,6.03,2.01,2.01,0.0,36.54,63.64,75.0,0.0,1047.41,,70.0,215.0,,Orthodox
Joe Charles,0.35,0.35,0.0,7.92,0.0,0.0,100.0,50.0,0.0,0.0,1020.96,,73.0,260.0,,Southpaw
Kevin Rosier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,76.0,275.0,,Orthodox
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1000.0,,,,,Nan
Marcus Bossett,1.15,0.0,0.0,17.31,0.0,0.0,50.0,100.0,0.0,0.0,951.59,,73.0,215.0,,Orthodox
Eldo Xavier Dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,1964-07-16,71.0,180.0,,Nan
Guy Mezger,2.81,1.78,0.62,1.86,2.48,0.0,61.82,53.76,50.0,62.5,1111.76,1968-01-01,73.0,200.0,,Orthodox
Jason Fairn,4.06,8.57,0.0,6.77,0.0,0.0,75.0,36.67,0.0,0.0,942.0,,73.0,230.0,,Nan
Ron van Clief,0.0,1.83,0.0,3.93,0.0,0.0,0.0,36.36,0.0,0.0,978.37,1943-01-25,70.0,190.0,,Orthodox
Joe Son,0.0,2.93,5.49,0.0,5.49,0.0,0.0,42.86,100.0,100.0,951.59,1970-11-22,64.0,236.0,,Orthodox
Melton Bowen,0.21,2.72,0.0,6.27,0.0,0.0,25.0,67.5,0.0,33.33,953.14,1969-07-16,72.0,225.0,,Orthodox
Dan Severn,1.9,0.81,2.18,0.0,1.45,0.0,45.56,69.33,45.0,100.0,1195.01,1958-06-08,74.0,250.0,,Southpaw
Anthony Macias,4.21,0.0,0.0,15.79,0.0,0.0,88.89,100.0,0.0,60.0,963.3,,69.0,185.0,,Switch
Dave Beneteau,2.61,0.81,5.6,2.8,0.0,0.0,50.0,65.79,100.0,50.0,1037.47,,74.0,250.0,,Orthodox
Asbel Cancio,0.0,34.29,0.0,42.86,0.0,0.0,0.0,33.33,0.0,0.0,942.0,,70.0,225.0,,Nan
John Dowdy,0.0,5.9,0.0,0.0,0.0,0.0,0.0,29.41,0.0,100.0,951.59,,,,,Nan
Jon Hess,12.29,1.45,0.0,0.0,0.0,0.0,60.71,0.0,0.0,100.0,1058.0,,79.0,295.0,,Nan
Andy Anderson,1.45,12.29,0.0,0.0,0.0,0.0,100.0,39.29,0.0,100.0,942.0,1974-07-16,66.0,240.0,,Nan
Todd Medina,0.78,1.76,2.93,2.93,2.93,0.0,100.0,40.0,100.0,0.0,1000.0,,70.0,193.0,,Southpaw
Larry Cureton,1.11,0.79,0.0,4.76,2.38,0.0,77.78,0.0,0.0,0.0,893.59,,74.0,240.0,,Orthodox
Oleg Taktarov,0.39,1.8,0.0,1.32,2.91,0.0,22.68,63.04,0.0,28.57,1225.98,1967-08-26,72.0,210.0,,Orthodox
Ernie Verdicia,0.84,0.0,0.0,0.0,0.0,0.0,40.0,100.0,0.0,100.0,942.0,,71.0,199.0,,Orthodox
Joel Sutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1106.41,,71.0,205.0,,Orthodox
Jack McGlaughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,,,,Orthodox
He-Man Gipson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,932.41,,,,,Nan
David Abbott,1.86,2.49,1.79,0.71,0.71,21.96,44.44,32.14,62.5,71.43,876.41,,72.0,265.0,,Switch
John Matua,0.0,21.0,0.0,0.0,0.0,0.0,0.0,41.67,0.0,100.0,942.0,,74.0,400.0,,Orthodox
Paul Varelans,1.46,2.05,0.78,0.78,1.17,0.0,43.75,49.68,100.0,77.78,992.36,,80.0,300.0,,Orthodox
Cal Worsham,3.23,1.83,2.11,0.0,0.0,0.0,45.1,60.61,50.0,100.0,959.17,,71.0,230.0,,Orthodox
Rudyard Moncayo,0.0,5.29,0.0,26.47,0.0,0.0,0.0,25.0,0.0,0.0,960.48,,70.0,195.0,,Orthodox
Geza Kalman,3.53,0.5,0.0,0.0,2.52,0.0,58.33,40.0,0.0,100.0,1017.62,,73.0,200.0,,Nan
Onassis Parungao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1058.0,,71.0,200.0,,Nan
Francesco Maturi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,,,,Nan
Scott Bessac,1.94,3.87,0.0,0.0,58.06,0.0,20.0,33.33,0.0,100.0,991.2,,76.0,245.0,,Nan
David Hood,3.87,1.94,0.0,0.0,0.0,0.0,66.67,80.0,0.0,100.0,942.0,,72.0,200.0,,Nan
Gerry Harris,0.0,3.69,0.0,13.85,0.0,0.0,0.0,0.0,0.0,0.0,942.0,,80.0,270.0,,Orthodox
Mark Hall,1.93,8.19,0.0,14.46,0.0,0.0,61.54,10.53,0.0,20.0,1058.37,,72.0,190.0,,Orthodox
Ryan Parker,0.0,0.0,0.0,4.86,0.0,0.0,0.0,100.0,0.0,0.0,951.59,,75.0,235.0,,Southpaw
Marco Ruas,1.1,0.53,0.82,0.27,2.19,60.53,45.8,64.63,75.0,75.0,1082.03,1961-01-23,73.0,210.0,,Orthodox
Trent Jenkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,941.78,,74.0,185.0,,Nan
Sam Adkins,0.0,4.48,0.0,10.34,0.0,0.0,0.0,27.78,0.0,0.0,996.97,1965-04-26,75.0,225.0,,Orthodox
Keith Mielke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,68.0,185.0,,Nan
Don Frye,2.48,1.54,1.17,1.46,0.88,0.0,66.49,49.03,66.67,66.67,1301.48,1965-11-23,73.0,219.0,,Orthodox
Thomas Ramirez,7.5,22.5,0.0,0.0,0.0,0.0,50.0,25.0,0.0,100.0,942.0,,73.0,410.0,,Sideways
Joe Moreira,1.06,0.56,2.5,0.0,0.0,0.0,51.35,76.74,50.0,100.0,1011.7,,71.0,195.0,,Southpaw
Jerry Bohlander,0.85,1.39,0.91,3.64,1.51,0.0,48.28,43.44,50.0,33.33,1109.63,1974-02-12,71.0,199.0,,Orthodox
Scott Ferrozzo,3.84,1.55,2.33,0.0,1.16,0.0,66.0,47.37,57.14,100.0,1061.06,1965-04-26,71.0,323.0,,Orthodox
Gary Goodridge,0.89,1.55,1.21,1.51,0.3,0.0,57.14,47.26,66.67,37.5,1037.22,1966-01-17,75.0,249.0,,Orthodox
Paul Herrera,0.0,36.92,0.0,69.23,0.0,0.0,0.0,0.0,0.0,0.0,942.0,,70.0,185.0,,Orthodox
Steve Nelmark,1.77,1.54,3.54,1.77,1.77,0.0,83.33,38.1,100.0,0.0,1048.28,,72.0,240.0,,Orthodox
Tai Bowden,0.54,1.75,0.0,4.04,0.0,0.0,100.0,18.75,0.0,0.0,1009.59,,71.0,230.0,,Nan
Zane Frazier,0.31,2.78,0.0,4.64,0.0,0.0,50.0,18.18,0.0,0.0,932.41,,77.0,250.0,,Orthodox
Rafael Carino,1.45,0.0,2.71,0.0,0.0,0.0,47.06,100.0,100.0,100.0,1058.0,,80.0,245.0,,Orthodox
Matt Andersen,0.0,1.45,0.0,2.71,0.0,0.0,0.0,52.94,0.0,0.0,942.0,1971-05-29,74.0,230.0,,Southpaw
Mark Schultz,0.67,0.08,3.75,0.0,0.0,0.0,27.59,75.0,100.0,100.0,1067.59,,69.0,200.0,,Orthodox
Koji Kitao,1.28,3.83,19.15,0.0,0.0,0.0,50.0,0.0,100.0,100.0,951.41,1963-10-12,79.0,350.0,,Southpaw
Amaury Bitetti,0.53,3.81,0.0,0.99,0.0,13.8,53.33,32.56,0.0,50.0,1032.03,,69.0,185.0,,Orthodox
Dieusel Berto,0.5,3.53,0.0,0.0,0.0,0.0,60.0,41.67,0.0,100.0,933.97,,69.0,200.0,,Nan
Brian Johnston,1.63,3.03,1.69,3.37,0.84,0.0,54.72,40.0,66.67,20.0,945.32,,75.0,230.0,,Orthodox
Scott Fiedler,1.24,0.83,0.0,6.21,0.0,0.0,75.0,60.0,0.0,50.0,942.0,,76.0,235.0,,Orthodox
Mark Coleman,2.71,2.61,4.18,0.33,1.34,160.37,55.48,39.69,50.0,75.0,1032.73,1964-12-20,73.0,205.0,75.0,Orthodox
Moti Horenstein,0.2,7.67,0.0,5.9,0.0,0.0,33.33,22.0,0.0,33.33,893.59,,76.0,230.0,,Orthodox
John Campetella,3.41,3.41,0.0,0.0,0.0,0.0,71.43,16.67,0.0,100.0,940.4,,69.0,235.0,,Orthodox
Sam Fulton,0.4,2.8,0.0,6.0,0.0,0.0,100.0,41.67,0.0,0.0,885.55,,,,,Nan
Roberto Traven,0.92,2.77,0.0,0.0,0.0,0.0,50.0,57.14,0.0,100.0,990.41,1968-09-16,75.0,227.0,,Orthodox
Dave Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,,,,Nan
Julian Sanchez,0.0,9.33,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,971.87,,75.0,300.0,,Orthodox
Reza Nasri,0.0,12.86,0.0,32.14,0.0,0.0,0.0,25.0,0.0,0.0,946.79,,71.0,205.0,,Orthodox
Fabio Gurgel,0.13,1.2,1.0,1.0,1.0,0.0,66.67,14.29,33.33,0.0,942.0,,72.0,205.0,,Orthodox
Jack Nilson,7.95,0.72,0.0,0.0,0.0,0.0,84.62,80.0,0.0,100.0,1001.55,,,,,Nan
Nick Sanzo,0.0,3.08,0.0,23.08,0.0,0.0,0.0,50.0,0.0,0.0,1008.03,,69.0,190.0,,Nan
Jackie Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,,,,Nan
Justin Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1058.0,,72.0,185.0,,Nan
Eric Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,,,,Nan
Rainy Martinez,0.0,0.0,0.0,10.71,0.0,0.0,0.0,100.0,0.0,0.0,951.59,,72.0,199.0,,Orthodox
Yoshiki Takahashi,2.5,0.12,1.88,1.88,0.0,0.0,46.51,94.12,100.0,90.0,1058.0,1969-03-13,71.0,199.0,,Southpaw
Wallid Ismail,0.12,2.5,1.88,1.88,0.0,0.0,5.88,53.49,10.0,0.0,942.0,1968-02-23,67.0,205.0,,Orthodox
Jim Mullen,0.37,3.73,0.0,3.73,0.0,0.0,60.0,28.57,0.0,0.0,956.29,,73.0,215.0,,Southpaw
Vitor Belfort,1.89,3.3,0.59,1.38,0.79,47.09,47.28,46.42,75.0,65.0,1185.21,1977-04-01,72.0,185.0,74.0,Southpaw
Tra Telligman,1.99,3.1,0.0,1.71,0.43,9.82,39.55,57.42,0.0,55.56,892.64,1965-02-07,74.0,233.0,,Orthodox
Tito Ortiz,2.48,2.44,3.05,0.84,0.42,376.55,46.98,59.7,44.62,56.76,1063.68,1975-01-23,75.0,205.0,74.0,Orthodox
Wes Albritton,0.0,40.65,0.0,29.03,0.0,0.0,0.0,12.5,0.0,0.0,942.0,,70.0,188.0,,Orthodox
Saeed Hosseini,0.72,7.95,0.0,0.0,10.84,0.0,20.0,15.38,0.0,100.0,930.86,,,,,Nan
Enson Inoue,0.0,1.88,0.0,0.0,9.38,0.0,0.0,50.0,0.0,100.0,1058.0,1967-04-15,70.0,210.0,,Orthodox
Royce Alger,1.77,2.65,3.79,0.0,0.0,291.79,43.75,54.35,22.22,100.0,893.59,,70.0,199.0,,Orthodox
Steven Graham,0.0,3.6,3.18,3.18,3.18,0.0,0.0,15.0,100.0,0.0,1000.0,,73.0,290.0,,Orthodox
Dmitri Stepanov,0.67,0.0,0.0,10.0,0.0,0.0,100.0,100.0,0.0,0.0,942.0,,75.0,217.0,,Orthodox
Randy Couture,2.85,1.45,2.85,0.71,0.6,417.45,59.16,59.09,50.0,59.38,1219.88,1963-06-22,73.0,205.0,75.0,Orthodox
Tony Halme,0.0,1.07,0.0,16.07,0.0,0.0,0.0,0.0,0.0,0.0,942.0,1963-01-06,75.0,300.0,,Orthodox
Tony Fryklund,5.56,1.77,1.21,1.21,2.42,503.76,58.97,57.69,50.0,66.67,993.93,1971-03-26,72.0,185.0,,Orthodox
Donnie Chappell,0.0,3.3,0.0,9.89,0.0,0.0,0.0,37.5,0.0,0.0,942.0,,71.0,178.0,,Southpaw
Alex Hunter,1.24,0.9,2.07,1.03,0.0,0.0,60.0,43.48,33.33,0.0,1097.08,,69.0,226.0,,Orthodox
Yuri Vaulin,0.12,0.88,0.0,5.62,0.0,0.0,20.0,22.22,0.0,0.0,932.82,,76.0,197.0,,Southpaw
Kevin Jackson,1.95,0.55,5.84,0.0,1.17,0.0,65.79,69.57,100.0,100.0,1000.15,,70.0,199.0,,Switch
Todd Butler,0.69,2.07,0.0,10.34,0.0,0.0,25.0,50.0,0.0,0.0,942.0,,73.0,200.0,,Southpaw
Mark Kerr,4.45,0.19,8.71,0.0,2.9,0.0,65.71,83.33,100.0,100.0,1191.83,1968-12-21,75.0,266.0,,Switch
Dan Bobish,2.37,2.37,3.95,3.95,3.95,0.0,40.91,43.75,100.0,0.0,998.95,1970-01-26,74.0,345.0,,Southpaw
Maurice Smith,1.78,1.01,0.0,3.5,0.58,70.01,75.27,62.32,0.0,25.0,1065.41,1961-12-13,74.0,221.0,,Orthodox
Harry Moskowitz,1.0,0.92,1.25,1.25,5.0,0.0,54.55,38.89,100.0,80.0,900.11,,77.0,275.0,,Orthodox
Dwayne Cason,2.39,1.3,3.26,3.26,0.0,0.0,50.0,33.33,100.0,0.0,1014.8,,70.0,212.0,,Orthodox
Houston Dorr,0.27,2.96,0.0,4.04,0.0,0.0,50.0,50.0,0.0,0.0,942.0,,73.0,210.0,,Orthodox
Greg Stott,0.0,3.53,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,959.49,,67.0,220.0,,Southpaw
Carlos Barreto,1.38,1.62,3.75,5.62,0.0,0.0,34.38,53.57,50.0,0.0,937.89,,76.0,230.0,,Orthodox
Brad Kohler,1.42,0.57,5.67,0.0,0.0,11.34,55.56,64.71,57.14,100.0,1001.55,1964-05-26,69.0,220.0,,Orthodox
Yoji Anjo,0.55,2.49,0.0,6.37,0.91,21.84,56.25,47.44,0.0,12.5,854.3,1967-03-28,71.0,205.0,,Orthodox
Kazushi Sakuraba,0.13,0.67,2.01,4.02,4.02,0.0,33.33,58.33,50.0,0.0,1038.59,1969-07-14,72.0,185.0,,Southpaw
Marcus Silveira,0.67,0.13,4.02,2.01,4.02,0.0,41.67,66.67,100.0,50.0,961.41,,75.0,242.0,,Orthodox
Frank Shamrock,2.23,1.16,0.44,7.4,3.92,5.66,60.63,65.22,100.0,29.17,1247.72,1972-12-08,70.0,185.0,,Orthodox
Laverne Clark,1.44,0.08,1.23,2.46,0.0,208.54,42.17,83.33,100.0,71.43,1085.84,1973-12-02,71.0,170.0,,Orthodox
Josh Stuart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,69.0,160.0,,Nan
Chris Brennan,0.42,0.96,0.62,1.87,1.25,4.99,30.3,51.06,33.33,0.0,933.79,1971-10-12,68.0,170.0,,Orthodox
Courtney Turner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,74.0,170.0,,Nan
Mikey Burnett,3.51,1.92,1.46,0.49,1.95,0.0,41.86,51.24,100.0,94.12,1056.45,1974-04-12,66.0,170.0,,Orthodox
Eugenio Tadeu,0.62,4.31,0.0,1.54,0.0,0.0,25.0,47.5,0.0,0.0,942.0,,68.0,160.0,,Orthodox
Pat Miletich,1.69,1.38,1.72,1.9,0.86,163.17,44.82,64.39,55.56,54.17,1166.01,1968-03-09,70.0,170.0,,Orthodox
Townsend Saunders,2.94,3.75,1.88,0.0,0.0,0.0,48.45,62.96,22.22,100.0,895.14,,65.0,170.0,,Orthodox
Tsuyoshi Kohsaka,2.13,1.93,1.98,1.42,2.27,30.59,51.36,64.21,30.43,50.0,1010.67,1970-03-06,71.0,225.0,,Orthodox
Igor Zinoviev,0.0,5.45,0.0,40.91,0.0,0.0,0.0,50.0,0.0,0.0,954.6,,73.0,199.0,,Orthodox
Chuck Liddell,2.83,2.01,0.49,1.11,0.0,73.87,37.35,60.22,87.5,81.4,1105.7,1969-12-17,74.0,205.0,76.0,Orthodox
Noe Hernandez,0.75,3.83,1.25,2.5,0.0,0.0,23.68,53.06,100.0,0.0,942.0,,,,,Orthodox
Andre Roberts,3.36,8.41,0.0,0.0,0.0,117.76,52.17,51.61,0.0,100.0,1049.02,1965-02-24,74.0,345.0,,Orthodox
Dan Henderson,2.72,3.58,1.16,1.4,0.39,136.02,45.54,52.57,42.86,63.27,1164.62,1970-08-24,71.0,185.0,74.0,Orthodox
Allan Goes,4.5,3.88,0.0,1.88,0.0,0.0,73.47,42.59,0.0,0.0,942.0,1971-04-20,72.0,205.0,,Orthodox
Carlos Newton,0.58,1.92,1.98,2.77,1.59,139.73,40.0,41.53,58.82,17.65,989.47,1976-08-17,69.0,170.0,,Orthodox
Bob Gilstrap,0.0,1.15,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,942.0,,75.0,200.0,,Orthodox
Mike van Arsdale,1.78,1.48,1.15,1.91,0.38,202.25,39.77,44.23,20.0,61.54,1025.32,1965-06-20,74.0,205.0,,Switch
Joe Pardo,0.36,2.45,0.0,1.36,1.36,0.0,36.36,62.5,0.0,0.0,942.0,,73.0,210.0,,Southpaw
Hugo Duarte,0.0,15.35,20.93,0.0,0.0,0.0,0.0,31.25,33.33,100.0,953.28,1968-08-09,72.0,240.0,,Orthodox
Pete Williams,1.12,1.63,0.71,4.03,1.42,100.0,39.44,56.36,50.0,45.16,902.43,1975-07-10,75.0,235.0,,Orthodox
Jeremy Horn,1.54,1.99,1.64,3.28,1.79,129.78,43.3,58.07,32.35,31.25,972.53,1975-08-25,73.0,185.0,74.0,Orthodox
Cesar Marscucci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1058.0,,,,,Nan
Paulo Santos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,942.0,,,,,Nan
Tulio Palhares,3.44,1.22,6.67,3.33,0.0,0.0,70.45,69.44,100.0,33.33,1058.0,,,180.0,,Nan
Adriano Santos,1.22,3.44,3.33,6.67,0.0,0.0,30.56,29.55,66.67,0.0,942.0,,,,,Nan
Ebenezer Fontes Braga,2.61,0.87,4.35,0.0,4.35,0.0,56.25,40.0,100.0,100.0,1051.61,1969-04-14,72.0,199.0,,Orthodox
Pedro Rizzo,1.84,2.35,0.19,1.54,0.0,88.22,36.9,54.2,28.57,77.46,1161.5,1974-05-03,73.0,241.0,,Orthodox
Wanderlei Silva,2.66,3.21,0.25,1.6,0.12,31.98,33.64,62.76,40.0,48.0,1109.77,1976-07-03,71.0,205.0,74.0,Orthodox
John Lober,0.52,3.0,5.87,0.0,1.96,0.0,36.36,30.3,75.0,100.0,967.04,1968-02-26,71.0,199.0,,Orthodox
Frank Caracci,0.0,2.18,0.0,4.37,2.18,0.0,0.0,50.0,0.0,0.0,951.59,,,,,Nan
Evan Tanner,2.61,2.02,2.12,0.71,1.51,310.79,59.97,57.55,45.65,22.22,1042.83,1971-02-11,72.0,185.0,74.0,Orthodox
Darrel Gholar,0.5,3.02,1.89,1.89,0.0,0.0,15.38,35.14,100.0,0.0,942.0,,68.0,194.0,,Orthodox
Jorge Patino,1.46,2.08,1.15,3.46,1.15,0.0,21.59,61.97,16.67,0.0,967.57,1973-08-05,68.0,170.0,,Orthodox
Bas Rutten,2.42,2.12,0.0,6.67,0.74,0.0,54.44,60.19,0.0,40.0,1135.36,1965-02-24,73.0,205.0,,Orthodox
Sione Latu,0.9,1.7,1.5,1.5,0.0,0.0,47.37,59.52,100.0,50.0,1058.0,,72.0,215.0,,Nan
Joey Roberts,1.7,0.9,1.5,1.5,3.0,0.0,40.48,52.63,50.0,0.0,942.0,,74.0,200.0,,Nan
Jason Godsey,0.74,1.48,3.69,3.69,0.0,291.39,21.43,45.45,100.0,0.0,905.65,,74.0,230.0,,Orthodox
Valeri Ignatov,0.5,5.57,0.0,5.01,0.83,0.0,27.27,32.89,0.0,40.0,901.62,,69.0,170.0,,Orthodox
Kevin Randleman,0.96,0.79,3.1,0.15,0.74,385.95,36.88,53.49,70.0,0.0,1124.47,1971-08-10,70.0,205.0,,Orthodox
Ron Waterman,2.79,0.84,2.7,0.0,1.35,566.83,65.03,56.92,37.5,100.0,1068.65,1965-11-23,74.0,280.0,,Orthodox
Chris Condo,0.0,12.86,0.0,32.14,0.0,0.0,0.0,25.0,0.0,0.0,942.0,,72.0,335.0,,Orthodox
Fabiano Iha,1.17,2.5,2.34,1.17,3.13,216.89,43.27,51.52,26.09,50.0,947.32,1970-07-28,68.0,155.0,,Orthodox
Marcelo Mello,5.06,0.0,10.84,0.0,0.0,0.0,53.85,100.0,50.0,100.0,1058.0,,67.0,170.0,,Southpaw
David Roberts,0.0,5.06,0.0,10.84,0.0,0.0,0.0,46.15,0.0,50.0,942.0,1975-11-15,73.0,170.0,,Orthodox
Tony Petarra,1.39,8.67,0.0,0.0,0.0,0.0,80.0,21.88,0.0,100.0,936.64,,71.0,196.0,,Orthodox
Travis Fulton,1.88,0.91,0.91,0.0,0.0,419.94,57.41,44.44,33.33,100.0,1020.84,1977-05-29,72.0,240.0,,Orthodox
David Dodd,0.4,1.64,0.0,1.2,0.0,59.4,32.26,55.43,0.0,33.33,887.39,1973-09-22,74.0,200.0,,Orthodox
Eugene Jackson,1.3,1.25,0.77,3.06,1.91,83.45,29.48,61.11,50.0,46.67,930.91,1966-09-23,68.0,185.0,,Orthodox
Tim Lajcik,0.83,1.6,0.0,1.29,0.0,275.57,38.67,44.55,0.0,82.35,878.35,1965-06-21,73.0,225.0,,Orthodox
Paul Jones,3.16,1.7,0.0,0.0,3.65,505.68,61.9,53.33,0.0,100.0,986.67,1963-06-16,69.0,199.0,,Orthodox
Flavio Luiz Moura,0.23,4.85,0.0,0.0,0.0,48.46,50.0,40.0,0.0,100.0,942.0,,71.0,183.0,,Open Stance
Daiju Takase,0.23,2.85,0.0,0.68,0.0,0.0,20.0,35.05,0.0,0.0,852.42,1978-04-20,72.0,170.0,,Southpaw
Andre Pederneiras,1.52,1.98,0.0,0.0,0.0,9.14,52.63,69.05,0.0,100.0,971.74,1967-03-22,68.0,155.0,,Orthodox
Jens Pulver,1.95,1.75,0.51,2.31,0.51,343.66,39.11,53.72,80.0,74.65,1107.84,1974-12-06,67.0,145.0,70.0,Southpaw
Alfonso Alcarez,3.4,4.8,1.5,0.0,0.0,190.5,54.84,40.74,50.0,100.0,1029.0,1970-06-10,63.0,145.0,,Nan
John Lewis,1.91,0.96,1.43,0.0,0.0,286.62,32.26,72.22,100.0,100.0,1004.7,,72.0,155.0,,Southpaw
Lowell Anderson,0.88,1.96,0.0,1.47,0.0,4.4,27.27,67.21,0.0,0.0,942.0,,66.0,160.0,,Orthodox
Matt Hughes,2.35,1.27,3.13,0.73,1.06,470.16,55.03,54.46,51.09,35.29,1203.15,1973-10-13,69.0,170.0,73.0,Switch
Steve Judson,3.61,3.09,0.0,3.86,0.0,73.39,51.85,45.45,0.0,0.0,884.25,,71.0,230.0,,Orthodox
Katsuhisa Fujii,2.58,1.09,1.72,0.86,0.0,456.45,43.27,64.15,66.67,66.67,998.36,1972-08-15,72.0,205.0,,Orthodox
